"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-26","   60","   80",,,,"0.24","   48","0.0","0.0",,"77","46","  354",,,,,"  180",,,,,,"23.9",,,"    1",,,,,"    1",,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-27","    0","   10",,,,"0.00","  100","0.0","0.0",,"60","34","  744",,,,,"  315",,,,,,"19.0",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-28","   10","   10",,,,"0.00","  100","0.0","0.0",,"68","32","  750",,,,,"  225",,,,,,"17.0",,,,,,,,"    1",,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-29","   90","  100",,,,"0.76","    0","0.0","0.0",,"60","33","    0",,,,,"  360",,,,,,"25.1","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-30","  100","  100",,,,"0.08","    1","0.0","0.0",,"40","33","    6",,,,,"   45",,,,,,"14.1","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-03-31","   70","   80",,,,"0.42","   48","0.0","0.0",,"57","36","  366",,,,,"   45",,,,,,"13.0","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-01","   90","   90",,,,"0.31","   11","0.0","0.0",,"56","37","   90",,,,,"  135",,,,,,"17.0","    1",,,,,,,"    1",,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-02","   60","   70",,,,"0.34","   42","0.0","0.0",,"76","46","  318",,,,,"  270",,,,,,"36.0","    1","    1","    1",,,,,,,,,,,"    1",,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-03","    0","    0",,,,"0.00","  100","0.0","0.0",,"66","38","  762",,,,,"  270",,,,,,"17.9",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-04","   80","   90",,,,"0.00","   67","0.0","0.0",,"71","38","  510",,,,,"   45",,,,,,"19.9",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-05","   50","   30",,,,"0.00","   80","0.0","0.0",,"56","38","  612",,,,,"   45",,,,,,"19.9",,,,,,,,,,,,,,,,,,,,
"USW00013740","RICHMOND INTERNATIONAL AIRPORT, VA US","1970-04-06","   80","   90",,,,"0.14","   27","0.0","0.0",,"52","33","  210",,,,,"   90",,,,,,"11.0","    1","    1",,,,,,,,,,,,"    1",,,,,,
